ID,IDENTIFIER,FIRST_NAME,LAST_NAME,TYPE_CODE,BLOCK_ID,MOBILE_PHONE,HOME_TOWN_1,HOME_TOWN_2,HOME_TOWN_3,EXTERNAL_ID,ADDRESS,SEX,AGE
71bcb68d-1018-4611-83c2-1b4faa3a8248,310115198306136756,俊发,卫,STFF,6dada196-2345-401f-8b9a-ce9d9bb780c4,13122885566,,上海,浦东新区,wei-jf2,浦东新区北御桥小区89号606室,男,38
71bcb68d-79fb-4335-b59d-2515717aed9b,310115197703071476,景山,张,PBLC,6dada196-2345-401f-8b9a-ce9d9bb780c4,18699232238,,上海,浦东新区,zhangshuaige90,浦东新区北御桥小区123号203室,男,43
71bcb68d-5502-4c00-83a8-667c1b534dc5,320526199312129910,映秋,许,PBLC,6dada196-2345-401f-8b9a-ce9d9bb780c4,15051892320,江苏省,南通市,如东县,xu_yqiu,浦东新区北御桥小区69号501室,女,28
71bcb68d-1612-4525-8fd6-b16b035e0716,110101198808263246,畅,高,PBLC,6dada196-2345-401f-8b9a-ce9d9bb780c4,13384820921,,北京,东城区,haopy666,浦东新区北御桥小区65号402室,男,33
b200db34-5442-4cbb-92c3-b9afe5fd672e,31011519800307243X,明溪,梁,STFF,6dad5196-2345-401f-4567-ce9d9bb780c4,13812595632,,上海,浦东新区,liang-mx03,浦东新区张江镇梧桐苑12幢101室,女,41
b200db34-7740-4f44-87fa-db45e9e93bba,310115196912020430,令景,刘,PBLC,6dad5196-2345-401f-4567-ce9d9bb780c4,17792345639,,上海,浦东新区,liuliu28,浦东新区张江镇梧桐苑4幢606室,男,52
b200db34-b79e-4d85-881c-af2dfd1b3d0f,430521199701299953,芷琪,王,PBLC,6dad5196-2345-401f-4567-ce9d9bb780c4,15189222882,湖南省,邵阳市,邵东县,wang_zq,浦东新区张江镇梧桐苑10幢302室,女,24
b200db34-ef5e-4695-9311-41d4d74d41f6,320102199009159672,青岩,皇甫,PBLC,6dad5196-2345-401f-4567-ce9d9bb780c4,13638992455,江苏省,南京市,玄武区,huangfu_qy,浦东新区张江镇梧桐苑7幢403室,男,31
8e9fa4f9-bd3e-45a9-b667-812bb17b577d,310115197002233738,弘毅,李,STFF,6dada196-2345-401f-8b9a-ce9d9bb780c4,13913995332,,上海,浦东新区,lihy111,浦东新区安康医院,男,51
8ec2185b-4200-407e-b97e-df597c2cb62a,310115197612147352,平,龚,STFF,6dad5196-2345-401f-4567-ce9d9bb780c4,18718771288,,上海,浦东新区,gongp2,浦东新区惠民医院,男,45
